[+] http://api.netflix.com/robots.txt
[x] http://api.netflix.com/.git2/ Forbidden
[x] http://api.netflix.com/user_upload/ Forbidden
[x] http://api.netflix.com/functions.inc.php Forbidden
[x] http://api.netflix.com/config/ Forbidden
[x] http://api.netflix.com/accueil/ Forbidden
[x] http://api.netflix.com/~/ Forbidden
[x] http://api.netflix.com/usercontrols/ Forbidden
[x] http://api.netflix.com/~adm/ Forbidden
[x] http://api.netflix.com/~admin/ Forbidden
[x] http://api.netflix.com/~administrator/ Forbidden
